2026-06-03 14:45:43.874 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:43.874 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:47.123 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:47.123 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:47.123 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:47.124 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:47.124 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:50.440 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:50.441 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:50.442 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:50.443 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:50.443 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:53.683 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:53.684 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:53.685 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:53.686 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:53.687 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:56.926 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:56.927 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:56.928 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:56.929 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:56.930 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:46:00.180 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:46:00.181 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:46:00.182 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:46:00.184 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:46:00.185 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:46:03.496 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:46:03.497 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:46:03.498 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:46:03.499 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:46:03.500 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:46:06.739 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:46:06.740 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:46:06.741 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:46:06.742 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:46:06.745 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:46:08.191 | ERROR    | src.core.pipeline:_inbound_loop:255 | 入站管道异常: Unanticipated host error [PaErrorCode -9999]: '' [<host API not found> error 0]
2026-06-03 14:47:55.488 | INFO     | src.utils.logger:setup_logger:31 | 日志系统初始化完成
2026-06-03 14:47:55.488 | INFO     | src.main:main:23 | ============================================================
2026-06-03 14:47:55.488 | INFO     | src.main:main:24 | Translator InTime v0.1.0 启动
2026-06-03 14:47:55.488 | INFO     | src.main:main:25 | 实时游戏语音双向翻译系统
2026-06-03 14:47:55.488 | INFO     | src.main:main:26 | ============================================================
2026-06-03 14:47:55.731 | INFO     | src.main:main:50 | GUI 已启动
2026-06-03 14:48:07.197 | INFO     | src.utils.logger:setup_logger:31 | 日志系统初始化完成
2026-06-03 14:48:07.197 | INFO     | src.main:main:23 | ============================================================
2026-06-03 14:48:07.197 | INFO     | src.main:main:24 | Translator InTime v0.1.0 启动
2026-06-03 14:48:07.197 | INFO     | src.main:main:25 | 实时游戏语音双向翻译系统
2026-06-03 14:48:07.197 | INFO     | src.main:main:26 | ============================================================
2026-06-03 14:48:07.428 | INFO     | src.main:main:50 | GUI 已启动
2026-06-03 14:50:53.909 | INFO     | src.utils.logger:setup_logger:31 | 日志系统初始化完成
2026-06-03 14:50:53.910 | INFO     | src.main:main:23 | ============================================================
2026-06-03 14:50:53.910 | INFO     | src.main:main:24 | Translator InTime v0.1.0 启动
2026-06-03 14:50:53.910 | INFO     | src.main:main:25 | 实时游戏语音双向翻译系统
2026-06-03 14:50:53.910 | INFO     | src.main:main:26 | ============================================================
2026-06-03 14:50:54.141 | INFO     | src.main:main:50 | GUI 已启动
2026-06-03 14:50:57.798 | INFO     | src.core.translator:_init_client:87 | 翻译策略: microsoft (降级: google)
2026-06-03 14:50:57.799 | INFO     | src.core.pipeline:initialize:77 | 初始化翻译管道...
2026-06-03 14:50:57.826 | INFO     | src.audio.virtual_device:_linux_create_speaker:60 | 虚拟音频设备 'translator_virtual' 已存在
2026-06-03 14:50:57.826 | INFO     | src.audio.virtual_device:_linux_create_mic_monitor:84 | Monitor 源自动可用: translator_virtual_sink.monitor
2026-06-03 14:50:57.827 | INFO     | src.core.asr_engine:load_model:33 | 加载 Whisper 模型: size=base, device=cpu, compute_type=int8
